match_id,season_year,date,stage,home,away,home_score,away_score,home_pens,away_pens,extra_time,penalties,total_shots,total_xg,largest_xg_swing,largest_xg_swing_window,xg_lead_changes,xg_first_15_home,xg_first_15_away,xg_last_15_home,xg_last_15_away,xg_home_0-15,xg_away_0-15,xg_diff_0-15,xg_home_15-30,xg_away_15-30,xg_diff_15-30,xg_home_30-45,xg_away_30-45,xg_diff_30-45,xg_home_45-60,xg_away_45-60,xg_diff_45-60,xg_home_60-75,xg_away_60-75,xg_diff_60-75,xg_home_75-90plus,xg_away_75-90plus,xg_diff_75-90plus
45,2026,2026-06-23,Group Stage,POR,UZB,5,0,,,False,False,27,2.9125,0.6211,0-15_to_15-30,0,0.7087,0.0,0.2728,0.0388,0.7087,0.0,0.7087,0.1964,0.1088,0.0876,0.3384,0.0249,0.3135,0.4908,0.1007,0.3901,0.6208,0.0114,0.6094,0.2728,0.0388,0.234
46,2026,2026-06-23,Group Stage,ENG,GHA,0,0,,,False,False,21,1.611,0.1467,60-75_to_75-90plus,0,0.0232,0.0,0.6682,0.2413,0.0232,0.0,0.0232,0.0969,0.0,0.0969,0.0773,0.0,0.0773,0.179,0.0449,0.1341,0.2802,0.0,0.2802,0.6682,0.2413,0.4269
47,2026,2026-06-23,Group Stage,PAN,CRO,0,1,,,False,False,14,2.4104,2.1317,45-60_to_60-75,2,0.055,0.0345,0.153,0.0362,0.055,0.0345,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8035,-1.8035,0.3282,0.0,0.3282,0.153,0.0362,0.1168
48,2026,2026-06-24,Group Stage,COL,COD,1,0,,,False,False,28,1.4315,0.2047,45-60_to_60-75,1,0.3335,0.0246,0.2036,0.1536,0.3335,0.0246,0.3089,0.2065,0.0,0.2065,0.0806,0.0,0.0806,0.2164,0.1122,0.1042,0.0,0.1005,-0.1005,0.2036,0.1536,0.05
49,2026,2026-06-24,Group Stage,SUI,CAN,2,1,,,False,False,19,2.4508,0.6512,0-15_to_15-30,1,0.6614,0.0,0.0,0.844,0.6614,0.0,0.6614,0.036,0.0258,0.0102,0.0384,0.2569,-0.2185,0.3701,0.0,0.3701,0.0,0.2182,-0.2182,0.0,0.844,-0.844
50,2026,2026-06-24,Group Stage,BIH,QAT,3,1,,,False,False,24,1.4141,0.3295,15-30_to_30-45,1,0.0463,0.0,0.1481,0.1218,0.0463,0.0,0.0463,0.2262,0.0,0.2262,0.2234,0.3267,-0.1033,0.0,0.2935,-0.2935,0.0,0.0281,-0.0281,0.1481,0.1218,0.0263
51,2026,2026-06-24,Group Stage,SCO,BRA,0,3,,,False,False,35,5.588,2.2075,45-60_to_60-75,0,0.0,1.0171,0.414,1.0785,0.0,1.0171,-1.0171,0.0,0.0428,-0.0428,0.0354,0.0925,-0.0571,0.2017,2.081,-1.8793,0.4766,0.1484,0.3282,0.414,1.0785,-0.6645
52,2026,2026-06-24,Group Stage,MAR,HAI,4,2,,,False,False,33,3.9474,0.9364,60-75_to_75-90plus,1,0.4604,0.4142,1.0456,0.1537,0.4604,0.4142,0.0462,0.1116,0.0,0.1116,1.0997,0.0656,1.0341,0.5521,0.0,0.5521,0.0,0.0445,-0.0445,1.0456,0.1537,0.8919
53,2026,2026-06-25,Group Stage,CZE,MEX,0,3,,,False,False,24,2.2635,0.4018,60-75_to_75-90plus,1,0.126,0.0,0.0506,0.3675,0.126,0.0,0.126,0.1175,0.0,0.1175,0.013,0.1879,-0.1749,0.1229,0.4722,-0.3493,0.0436,0.7623,-0.7187,0.0506,0.3675,-0.3169
54,2026,2026-06-25,Group Stage,RSA,KOR,1,0,,,False,False,21,2.1222,0.5866,30-45_to_45-60,1,0.1075,0.4114,0.0,0.4024,0.1075,0.4114,-0.3039,0.1099,0.0,0.1099,0.7132,0.0183,0.6949,0.1083,0.0,0.1083,0.086,0.1652,-0.0792,0.0,0.4024,-0.4024
55,2026,2026-06-25,Group Stage,ECU,GER,2,1,,,False,False,20,2.0222,0.4189,60-75_to_75-90plus,1,0.0253,0.1767,0.9343,0.2033,0.0253,0.1767,-0.1514,0.0,0.0876,-0.0876,0.0197,0.0502,-0.0305,0.0216,0.0724,-0.0508,0.3716,0.0595,0.3121,0.9343,0.2033,0.731
56,2026,2026-06-25,Group Stage,CUW,CIV,0,2,,,False,False,21,1.809,0.3725,15-30_to_30-45,1,0.0484,0.4646,0.2944,0.1951,0.0484,0.4646,-0.4162,0.0,0.3314,-0.3314,0.0411,0.0,0.0411,0.083,0.2048,-0.1218,0.0163,0.1299,-0.1136,0.2944,0.1951,0.0993
57,2026,2026-06-25,Group Stage,TUN,NED,1,3,,,False,False,31,2.1142,0.2638,60-75_to_75-90plus,1,0.2256,0.4916,0.1196,0.1563,0.2256,0.4916,-0.266,0.0,0.1975,-0.1975,0.0092,0.3419,-0.3327,0.0652,0.1848,-0.1196,0.011,0.3115,-0.3005,0.1196,0.1563,-0.0367
58,2026,2026-06-25,Group Stage,JPN,SWE,1,1,,,False,False,19,1.9288,0.7458,45-60_to_60-75,1,0.0,0.0275,0.3796,0.3949,0.0,0.0275,-0.0275,0.1397,0.0,0.1397,0.0081,0.0,0.0081,0.7871,0.1166,0.6705,0.0,0.0753,-0.0753,0.3796,0.3949,-0.0153
59,2026,2026-06-26,Group Stage,PAR,AUS,0,0,,,False,False,19,0.8286,0.1321,30-45_to_45-60,0,0.0,0.103,0.1324,0.202,0.0,0.103,-0.103,0.0,0.0148,-0.0148,0.0498,0.0213,0.0285,0.0689,0.1725,-0.1036,0.0,0.0639,-0.0639,0.1324,0.202,-0.0696
60,2026,2026-06-26,Group Stage,TUR,USA,3,2,,,False,False,29,4.9944,2.2446,60-75_to_75-90plus,5,0.5308,0.4774,1.2017,0.1231,0.5308,0.4774,0.0534,0.0,0.0837,-0.0837,1.1709,0.0,1.1709,0.0,0.1956,-0.1956,0.0226,1.1886,-1.166,1.2017,0.1231,1.0786
61,2026,2026-06-26,Group Stage,NOR,FRA,1,4,,,False,False,28,2.9982,0.86,30-45_to_45-60,1,0.2762,0.4374,0.1066,0.1389,0.2762,0.4374,-0.1612,0.1318,0.3929,-0.2611,0.0,0.1322,-0.1322,0.8588,0.131,0.7278,0.3151,0.0773,0.2378,0.1066,0.1389,-0.0323
62,2026,2026-06-26,Group Stage,SEN,IRQ,5,0,,,False,False,34,3.2019,1.034,30-45_to_45-60,0,0.7235,0.0,0.7568,0.0,0.7235,0.0,0.7235,0.071,0.0666,0.0044,0.0824,0.0604,0.022,1.0754,0.0194,1.056,0.3216,0.0248,0.2968,0.7568,0.0,0.7568
63,2026,2026-06-27,Group Stage,URU,ESP,0,1,,,False,False,12,1.11,0.2762,60-75_to_75-90plus,0,0.0,0.0,0.0184,0.3823,0.0,0.0,0.0,0.0,0.2014,-0.2014,0.0994,0.1426,-0.0432,0.0,0.0118,-0.0118,0.0832,0.1709,-0.0877,0.0184,0.3823,-0.3639
64,2026,2026-06-27,Group Stage,CPV,KSA,0,0,,,False,False,24,1.9794,0.9855,60-75_to_75-90plus,3,0.0,0.0,1.113,0.1645,0.0,0.0,0.0,0.0468,0.0622,-0.0154,0.1062,0.0,0.1062,0.2802,0.1695,0.1107,0.0,0.037,-0.037,1.113,0.1645,0.9485
65,2026,2026-06-27,Group Stage,EGY,IRN,1,1,,,False,False,29,3.1641,1.0943,60-75_to_75-90plus,1,0.1672,1.1413,0.0362,0.9435,0.1672,1.1413,-0.9741,0.0763,0.0,0.0763,0.048,0.052,-0.004,0.2998,0.2128,0.087,0.187,0.0,0.187,0.0362,0.9435,-0.9073
66,2026,2026-06-27,Group Stage,NZL,BEL,1,5,,,False,False,45,4.3377,0.4134,45-60_to_60-75,0,0.0,1.0215,0.1617,0.7931,0.0,1.0215,-1.0215,0.0,0.6324,-0.6324,0.0117,0.3639,-0.3522,0.0872,0.47,-0.3828,0.0,0.7962,-0.7962,0.1617,0.7931,-0.6314
67,2026,2026-06-27,Group Stage,PAN,ENG,0,2,,,False,False,32,2.3026,0.497,60-75_to_75-90plus,1,0.0301,0.051,0.5533,0.282,0.0301,0.051,-0.0209,0.1184,0.0994,0.019,0.0,0.3028,-0.3028,0.0291,0.263,-0.2339,0.1739,0.3996,-0.2257,0.5533,0.282,0.2713
68,2026,2026-06-27,Group Stage,CRO,GHA,2,1,,,False,False,14,1.1479,0.6868,60-75_to_75-90plus,1,0.0,0.0,0.1382,0.0645,0.0,0.0,0.0,0.1812,0.0,0.1812,0.0995,0.0183,0.0812,0.0,0.0331,-0.0331,0.0,0.6131,-0.6131,0.1382,0.0645,0.0737
69,2026,2026-06-27,Group Stage,COL,POR,0,0,,,False,False,39,2.4213,0.57,15-30_to_30-45,0,0.3775,0.0278,0.2364,0.0667,0.3775,0.0278,0.3497,0.269,0.0275,0.2415,0.1366,0.4651,-0.3285,0.2164,0.1409,0.0755,0.4574,0.0,0.4574,0.2364,0.0667,0.1697
70,2026,2026-06-27,Group Stage,COD,UZB,3,1,,,False,False,25,2.8226,0.9104,45-60_to_60-75,1,0.02,0.1124,0.8825,0.0764,0.02,0.1124,-0.0924,0.1032,0.0,0.1032,0.0301,0.0,0.0301,0.3438,0.1901,0.1537,1.0641,0.0,1.0641,0.8825,0.0764,0.8061
71,2026,2026-06-28,Group Stage,JOR,ARG,1,3,,,False,False,18,3.1956,1.1654,30-45_to_45-60,0,0.0,0.0383,0.0,0.4359,0.0,0.0383,-0.0383,0.0,0.9846,-0.9846,0.0991,0.7884,-0.6893,0.6433,0.1672,0.4761,0.0,0.0388,-0.0388,0.0,0.4359,-0.4359
72,2026,2026-06-28,Group Stage,ALG,AUT,3,3,,,False,False,22,3.0607,1.4942,15-30_to_30-45,9,0.013,0.0085,0.4447,0.2576,0.013,0.0085,0.0045,0.0,0.7664,-0.7664,0.7803,0.0525,0.7278,0.184,0.2023,-0.0183,0.2005,0.1509,0.0496,0.4447,0.2576,0.1871
146,2026,2026-06-28,Round of 32,RSA,CAN,0,1,,,False,False,20,1.6018,0.5406,30-45_to_45-60,1,0.0227,0.0187,0.0377,0.185,0.0227,0.0187,0.004,0.0242,0.4405,-0.4163,0.0139,0.5921,-0.5782,0.0,0.0376,-0.0376,0.0334,0.196,-0.1626,0.0377,0.185,-0.1473
147,2026,2026-06-29,Round of 32,BRA,JPN,2,1,,,False,False,27,2.1525,1.0112,45-60_to_60-75,2,0.1743,0.0,0.3736,0.0,0.1743,0.0,0.1743,0.0,0.1809,-0.1809,0.2199,0.0,0.2199,1.0847,0.0252,1.0595,0.0711,0.0228,0.0483,0.3736,0.0,0.3736
