match_id,season_year,competition,date,home,away,home_score,away_score,total_shots,total_xg,largest_xg_swing,largest_xg_swing_window,xg_lead_changes,xg_first_15_home,xg_first_15_away,xg_last_15_home,xg_last_15_away,xg_home_0-15,xg_away_0-15,xg_diff_0-15,xg_home_15-30,xg_away_15-30,xg_diff_15-30,xg_home_30-45,xg_away_30-45,xg_diff_30-45,xg_home_45-60,xg_away_45-60,xg_diff_45-60,xg_home_60-75,xg_away_60-75,xg_diff_60-75,xg_home_75-90plus,xg_away_75-90plus,xg_diff_75-90plus
29139,2526,PL,2026-05-18,ARS,BUR,1,0,18,1.4218,0.7096,15-30_to_30-45,1,0.1621,0.0864,0.0543,0.0,0.1621,0.0864,0.0758,0.0595,0.0709,-0.0114,0.6983,0.0,0.6983,0.2528,0.0377,0.2151,0.0,0.0,0.0,0.0543,0.0,0.0543
29140,2526,PL,2026-05-15,AVL,LIV,4,2,30,4.5018,2.0891,60-75_to_75-90plus,2,0.203,0.0,0.1173,0.5221,0.203,0.0,0.203,0.0,0.0494,-0.0494,0.0355,0.2139,-0.1783,0.854,0.7311,0.1229,1.7299,0.0456,1.6843,0.1173,0.5221,-0.4048
29141,2526,PL,2026-05-17,BRE,CRY,2,2,30,3.3944,1.1084,60-75_to_75-90plus,1,0.1444,0.8856,1.1326,0.0394,0.1444,0.8856,-0.7412,0.0852,0.4005,-0.3152,0.0549,0.4578,-0.4028,0.1381,0.0407,0.0974,0.0,0.0152,-0.0152,1.1326,0.0394,1.0932
29142,2526,PL,2026-05-19,CHE,TOT,2,1,18,3.3316,0.3362,0-15_to_15-30,2,0.0395,0.2486,0.0915,0.546,0.0395,0.2486,-0.209,0.1271,0.0,0.1271,0.0,0.0288,-0.0288,0.1089,0.329,-0.2201,0.7256,1.0866,-0.361,0.0915,0.546,-0.4545
29143,2526,PL,2026-05-17,EVE,SUN,1,3,17,2.6056,0.9861,30-45_to_45-60,4,0.014,0.0159,0.59,0.7995,0.014,0.0159,-0.0019,0.0,0.0748,-0.0748,0.5924,0.0,0.5924,0.0,0.3937,-0.3937,0.1254,0.0,0.1254,0.59,0.7995,-0.2095
29144,2526,PL,2026-05-17,LED,BRI,1,0,26,2.9801,0.6612,15-30_to_30-45,2,0.0398,0.1352,0.5862,0.4244,0.0398,0.1352,-0.0954,0.0166,0.0217,-0.005,0.0,0.6662,-0.6662,0.0333,0.4577,-0.4243,0.0719,0.5273,-0.4554,0.5862,0.4244,0.1617
29145,2526,PL,2026-05-17,MUN,NOT,3,2,40,6.1859,0.8802,60-75_to_75-90plus,0,0.1304,0.0,1.2783,0.273,0.1304,0.0,0.1304,0.9856,0.347,0.6386,0.1921,0.2125,-0.0204,1.1019,0.4836,0.6183,0.6533,0.5281,0.1252,1.2783,0.273,1.0054
29146,2526,PL,2026-05-17,NEW,WHU,3,1,30,3.0985,0.696,0-15_to_15-30,0,0.6471,0.0,0.3079,0.2629,0.6471,0.0,0.6471,0.3285,0.3774,-0.0489,0.0418,0.0994,-0.0576,0.1966,0.0589,0.1377,0.612,0.1659,0.4461,0.3079,0.2629,0.0449
29147,2526,PL,2026-05-17,WOL,FLH,1,1,24,2.9814,0.582,45-60_to_60-75,3,0.0,0.1114,0.3944,0.1548,0.0,0.1114,-0.1114,0.2428,0.2015,0.0413,0.0249,0.2068,-0.1819,0.4994,0.7776,-0.2782,0.3358,0.0321,0.3037,0.3944,0.1548,0.2396
29148,2526,PL,2026-05-24,BRI,MUN,0,3,24,3.0311,1.2777,15-30_to_30-45,1,0.0603,0.0,0.3488,0.0441,0.0603,0.0,0.0603,0.0234,0.0,0.0234,0.091,1.3453,-1.2543,0.0873,0.9393,-0.852,0.0917,0.0,0.0917,0.3488,0.0441,0.3046
29149,2526,PL,2026-05-24,BUR,WOL,1,1,32,4.1434,0.9409,0-15_to_15-30,0,0.0106,0.8956,0.7829,1.0079,0.0106,0.8956,-0.885,0.0781,0.0223,0.0558,0.0731,0.789,-0.7159,0.1211,0.1315,-0.0104,0.2189,0.0123,0.2065,0.7829,1.0079,-0.225
29150,2526,PL,2026-05-24,CRY,ARS,1,2,25,4.978,0.9575,0-15_to_15-30,0,0.2051,1.4287,0.6378,1.4076,0.2051,1.4287,-1.2236,0.0,0.2661,-0.2661,0.0,0.1989,-0.1989,0.1436,0.0562,0.0873,0.0184,0.6154,-0.597,0.6378,1.4076,-0.7698
29151,2526,PL,2026-05-24,FLH,NEW,2,0,28,1.9905,0.7407,15-30_to_30-45,0,0.1378,0.0,0.3781,0.1224,0.1378,0.0,0.1378,0.7979,0.0,0.7979,0.1307,0.0735,0.0572,0.0726,0.0,0.0726,0.2311,0.0464,0.1847,0.3781,0.1224,0.2557
29152,2526,PL,2026-05-24,LIV,BRE,1,1,35,4.4696,1.3012,45-60_to_60-75,0,0.0865,0.066,1.1126,0.3566,0.0865,0.066,0.0205,0.411,0.0,0.411,0.4982,0.5623,-0.0642,0.8916,0.0377,0.854,0.0,0.4472,-0.4472,1.1126,0.3566,0.756
29153,2526,PL,2026-05-24,MCI,AVL,1,2,28,3.8221,1.1878,30-45_to_45-60,1,0.2655,0.0,0.1247,0.8722,0.2655,0.0,0.2655,0.592,0.0,0.592,0.3713,0.0,0.3713,0.0,0.8165,-0.8165,0.0274,0.7525,-0.7251,0.1247,0.8722,-0.7475
